Date,Rupee Rate
31-Jan-94,31.37
28-Feb-94,31.37
31-Mar-94,31.37
30-Apr-94,31.37
31-May-94,31.37
30-Jun-94,31.37
31-Jul-94,31.38
31-Aug-94,31.37
30-Sep-94,31.37
31-Oct-94,31.37
30-Nov-94,31.39
31-Dec-94,31.38
31-Jan-95,31.37
28-Feb-95,31.43
31-Mar-95,31.5
30-Apr-95,31.39
31-May-95,31.42
30-Jun-95,31.42
31-Jul-95,31.4
31-Aug-95,31.84
30-Sep-95,34.01
31-Oct-95,34.62
30-Nov-95,34.94
31-Dec-95,35.18
31-Jan-96,36.49
29-Feb-96,35.03
31-Mar-96,34.33
30-Apr-96,34.52
31-May-96,35.09
30-Jun-96,35.06
31-Jul-96,35.68
31-Aug-96,35.68
30-Sep-96,35.76
31-Oct-96,35.68
30-Nov-96,35.76
31-Dec-96,35.93
31-Jan-97,35.88
28-Feb-97,35.89
31-Mar-97,35.91
30-Apr-97,35.78
31-May-97,35.79
30-Jun-97,35.82
31-Jul-97,35.71
31-Aug-97,36.36
30-Sep-97,36.18
31-Oct-97,36.4
30-Nov-97,38.57
31-Dec-97,39.28
31-Jan-98,38.92
28-Feb-98,39.3
31-Mar-98,39.5
30-Apr-98,39.73
31-May-98,41.5
30-Jun-98,42.47
31-Jul-98,42.56
31-Aug-98,42.55
30-Sep-98,42.49
31-Oct-98,42.37
30-Nov-98,42.63
31-Dec-98,42.48
31-Jan-99,42.5
28-Feb-99,42.49
31-Mar-99,42.43
30-Apr-99,42.82
31-May-99,42.84
30-Jun-99,43.36
31-Jul-99,43.29
31-Aug-99,43.48
30-Sep-99,43.61
31-Oct-99,43.42
30-Nov-99,43.41
31-Dec-99,43.49
31-Jan-00,43.64
29-Feb-00,43.61
31-Mar-00,43.62
30-Apr-00,43.66
31-May-00,44.58
30-Jun-00,44.68
31-Jul-00,44.99
31-Aug-00,45.8
30-Sep-00,46.07
31-Oct-00,46.8
30-Nov-00,46.84
31-Dec-00,46.75
31-Jan-01,46.41
28-Feb-01,46.61
31-Mar-01,46.64
30-Apr-01,46.86
31-May-01,46.99
30-Jun-01,47.04
31-Jul-01,47.16
31-Aug-01,47.15
30-Sep-01,47.86
31-Oct-01,47.97
30-Nov-01,47.99
31-Dec-01,48.18
31-Jan-02,48.58
28-Feb-02,48.81
31-Mar-02,48.8
30-Apr-02,48.97
31-May-02,49.03
30-Jun-02,48.87
31-Jul-02,48.68
31-Aug-02,48.51
30-Sep-02,48.38
31-Oct-02,48.41
30-Nov-02,48.27
31-Dec-02,48.03
31-Jan-03,47.8
28-Feb-03,47.67
31-Mar-03,47.5
30-Apr-03,47.35
31-May-03,47.03
30-Jun-03,46.49
31-Jul-03,46.14
31-Aug-03,45.85
